variety,type,trait,domain,maturity_ds,maturity_ws,yield
PAC 999 VT2 PRO,Hybrid Biotech Stack -Trait ,Other,Luzon,105,,7.9
B9545G,Hybrid Biotech Stack -Trait ,Other,Luzon,107,,8.8
B9899G,Hybrid Biotech Stack -Trait ,Other,Luzon,105,,9.12
B9899G,Hybrid Biotech Stack -Trait ,Other,Mindanao,105,,8.94
H101G,Hybrid Biotech Stack -Trait ,Other,Luzon,104,,10
H102G,Hybrid Biotech Stack -Trait ,Other,Luzon,106,,10.7
DK8899S,Hybrid Biotech Stack -Trait ,Other,Luzon,106,106,9.2
DK8899S,Hybrid Biotech Stack -Trait ,Other,Mindanao,106,106,8.26
SS6414BtGt,Hybrid Biotech Stack -Trait ,Other,Luzon,109,108,9.12
SS6414BtGt,Hybrid Biotech Stack -Trait ,Other,Mindanao,109,108,9.45
P4097YHR,Hybrid Biotech Stack -Trait ,Other,Luzon,120,,6.6
FARCO 58,OPV,Other,Visayas,104,104,7.33
FARCO 58,OPV,Other,Mindanao,104,104,5.57
MMSU BMIR Glut1,OPV Glutinous Corn,White,Luzon,103,101,5.36
CVRC Glut# 18-14,OPV Glutinous Corn,White,Luzon,103,100,4.78
CVRC Glut# 18-14,OPV Glutinous Corn,White,Visayas,103,100,5.6
FARCO 88,Hybrid Conventional,Other,Mindanao,107,106,6.34
K-508,Hybrid Conventional,Other,Mindanao,108,108,7.64
DEKALB®9118S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,108,106,10.06
DEKALB®9118S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,108,106,8.9
DEKALB®8719S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,108,106,10.3
DEKALB®8719S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,108,106,8.79
DEKALB®9919S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,107,105,7.79
